Идентификатор накладной	№ вагона	№ накладной	Состояние накладной	Дата приемосд. (все док-ты)	Дата прибытия	Дата раскр. (все док-ты)	Папка	Номер заявки	Идентификатор заявки	Код ТГНЛ Грузоотправителя	ОКПО Грузоотправителя	Наименование Грузоотправителя	Код ТГНЛ Грузополучателя	ОКПО Грузополучателя	Наименование Грузополучателя	Код станции отправления	Код плательщика на ст. отпр.	Код станции назначения	ОКПО порта назначения	Код груза ЕТ СНГ	Масса груза погруженая (кг);1	Код типа собств. вагона	ОКПО организации собственника	Наим. организации собственника	Сумма сбора;1	Сумма налога;1	Количество вагонов;1	Срок доставки	Дата приемосд. (действующие до	Код плательщика на ст. назн.	Итого сумма по прибытию;1	Итого НДС по прибытию;1
271477013	54466834	АГ926089	Работа с документом окончена	14.04.2012 1:00:10	21.04.2012 13:40:00	22.04.2012 6:56:45	Прибытие			2274	93294342	ООО "ТрансЛес"	4048	58789423	ООО,,ТрансЦентр,,	947005	1002256437	893500		421104	0	1	82404922	ОАО "Первая грузовая компания"	24232	4361,76	1	27.04.2012	14.04.2012 1:00:10	1002256437	24232	4361,76
271640292	54441027	00547337	Работа с документом окончена	14.04.2012 1:00:26	20.04.2012 16:24:00	21.04.2012 6:14:29	Прибытие			9999		ТЭК СИНЬ ЮЭЙ	4048	58789423	ООО,,ТрансЦентр,,	947005		895101		421034	0	1	93294342	ООО "ТрансЛес"	24274	4369,32	1	27.04.2012	14.04.2012 1:00:26	1000587151	24274	4369,32
271625590	54469317	00538147	Работа с документом окончена	14.04.2012 1:00:37	21.04.2012 13:40:00	22.04.2012 7:08:08	Прибытие			9999		ЧАН СЭН	4048	58789423	ООО,,ТрансЦентр,,	947005		893500		421104	0	1	82404922	ОАО "Первая грузовая компания"	24232	4361,76	1	27.04.2012	14.04.2012 1:00:37	1000587151	24232	4361,76
271619562	54467584	00547336	Работа с документом окончена	14.04.2012 1:00:39	20.04.2012 16:24:00	21.04.2012 6:05:02	Прибытие			9999		СИНЬ ЮЭЙ	4048	58789423	ООО,,ТрансЦентр,,	947005		895101		421104	0	1	82404922	ОАО "Первая грузовая компания"	24274	4369,32	1	27.04.2012	14.04.2012 1:00:39	1000587151	24274	4369,32
271640055	54371794	00547335	Работа с документом окончена	14.04.2012 1:00:39	20.04.2012 16:24:00	21.04.2012 6:10:42	Прибытие			9999		ТЭК СИНЬ ЮЭЙ	4048	58789423	ООО,,ТрансЦентр,,	947005		895101		421034	0	1	93294342	ООО "ТрансЛес"	24274	4369,32	1	27.04.2012	14.04.2012 1:00:39	1000587151	24274	4369,32
271619428	54424049	00538480	Работа с документом окончена	14.04.2012 1:00:53	21.04.2012 13:40:00	22.04.2012 7:15:31	Прибытие			9999		СИНЬ И	4048	58789423	ООО,,ТрансЦентр,,	947005		893500		421104	0	1	93294342	ООО "ТрансЛес"	24232	4361,76	1	27.04.2012	14.04.2012 1:00:53	1002256437	24232	4361,76
271264418	43228519	АГ925870	Работа с документом окончена	14.04.2012 1:00:59	20.04.2012 16:24:00	21.04.2012 6:08:09	Прибытие			4048	58789423	ООО,,ТрансЦентр,,	4048	58789423	ООО,,ТрансЦентр,,	947005	1000587151	895101		421034	0	1	82404922	ОАО "Первая грузовая компания"	24274	4369,32	1	27.04.2012	14.04.2012 1:00:59	1000587151	24274	4369,32
271350564	52692423	ЭИ840570	Работа с документом окончена	14.04.2012 3:22:42	14.04.2012 3:25:59	14.04.2012 10:54:11	Прибытие			760	82404922	ОАО "Первая грузовая компания"	4048	58789423	ООО,,ТрансЦентр,,	893500	1002950760	893500		421034	0	1	82404922	ОАО "Первая грузовая компания"	26	4,68	1	17.04.2012	14.04.2012 3:22:42	1002950760	0	0
270060538	54441969	АГ925126	Работа с документом окончена	15.04.2012 1:00:00	20.04.2012 16:24:00	21.04.2012 6:59:05	Прибытие			4048	58789423	ООО,,ТрансЦентр,,	4048	58789423	ООО,,ТрансЦентр,,	947005	1000587151	895101		421034	0	1	93294342	ООО "ТрансЛес"	24274	4369,32	1	28.04.2012	15.04.2012 1:00:00	1000587151	24274	4369,32
271597919	54414149	АГ926126	Работа с документом окончена	15.04.2012 1:00:01	21.04.2012 13:40:00	22.04.2012 6:55:11	Прибытие			2274	93294342	ООО "ТрансЛес"	4048	58789423	ООО,,ТрансЦентр,,	947005	1002256437	893500		421104	0	1	82404922	ОАО "Первая грузовая компания"	24232	4361,76	1	28.04.2012	15.04.2012 1:00:01	1002256437	24232	4361,76
